Apellidos,Total
MEDRANDA,9213
MEDRANO,2728
MEJIA,48958
MEJILLON,1741
MEJILLONES,1539
MELENDEZ,2123
MELENDRES,1670
MELGAR,1241
MELO,4471
MENA,15742
MENDEZ,41432
MENDIETA,12596
MENDOZA,120115
MENENDEZ,12452
MENESES,7733
MENOSCAL,4239
MERA,52343
MERCADO,2548
MERCHAN,29169
MEREJILDO,2028
MERELO,3435
MERINO,12167
MERIZALDE,4230
MERO,44744
MESA,2029
MESIAS,3556
MESTANZA,2515
MEZA,22735
MICHILENA,1241
MICOLTA,2188
MIELES,9165
MIGUEZ,1147
MILAN,1687
MILLAN,1304
MILLINGALLI,1578
MINA,16319
MINAYA,2774
MINCHALA,3579
MINDA,5364
MINDIOLA,2654
MINDIOLAZA,1760
MINGA,3350
MINTA,1559
MIRABA,3287
MIRANDA,35522
MITE,11392
MIZHQUIRI,1025
MIÑO,6198
MOCHA,3317
MOGOLLON,1433
MOGRO,1075
MOGROVEJO,3592
MOINA,1341
MOLINA,62141
MOLINEROS,1001
MONAR,5951
MONCADA,8539
MONCAYO,14475
MONGE,3191
MONROY,1983
MONRROY,1321
MONSERRATE,8512
MONTA,1279
MONTACHANA,1147
MONTAGUANO,1154
MONTALEZA,1019
MONTALUISA,1407
MONTALVAN,9347
MONTALVO,9559
MONTAÑO,15198
MONTECE,3142
MONTENEGRO,18072
MONTERO,16630
MONTEROS,1746
MONTES,10107
MONTESDEOCA,10304
MONTIEL,5841
MONTOYA,17844
MONTUFAR,1962
MOPOSITA,7923
MORA,76844
MORALES,93945
MORAN,69513
MORANTE,5864
MOREANO,2224
MOREIRA,91081
MOREJON,6147
MORENO,54971
MORETA,13179
MORILLO,7246
MORLA,1154
MOROCHO,63136
MORQUECHO,1861
MORRILLO,1385
MOSCOSO,7827
MOSQUERA,34110
MOTA,2222
MOTOCHE,1299
MOYA,11209
MOYANO,5955
MOYOLEMA,2165
MOYON,2026
MUELA,1772
MUENALA,3292
MUENTES,4535
MUESES,1381
MUGMAL,1027
MUJICA,1561
MULLO,6019
MURILLO,46046
MURRIETA,1451
MUSO,1878
MUYOLEMA,1044
MUYULEMA,2284
MUZO,2419
MUÑIZ,7863
MUÑOZ,99923
NACIMBA,1807
NACIPUCHA,1002
NAGUA,2586
NAJERA,1881
NANTIP,1085
NAPA,10172
NARANJO,39116
NAREA,1530
NARVAEZ,38349
NASIMBA,1784
NASTACUAS,1337
