ApellidoAsambleista,Total
CHORO,1
DE VITERI,1
GUAÑA,1
ESPAÑA,1
CRIOLLO,1
ESPARZA,1
HUAYAMABE,1
COLAMARCO,1
ENRRIQUEZ,1
DEL ARCO,1
JUA,1
DEL SALTO,1
GUAMANI,1
CUZCO,1
GUATO,1
ESTACIO,1
EGUEZ,1
ESTEVEZ,1
HENRIQUEZ,1
COLLAHUAZO,1
HIGH,1
ESTRELLA,1
IBARRA,1
ESTUPIÑAN,1
ISAZA,1
COLOMA,1
CHORA,1
FAJUL,1
JIMA,1
FALCON,1
DE LEON,1
COMPANIONI,1
LAJONES,1
FALQUEZ,1
GUANOLEMA,1
CIGUENZA,1
GUAQUIPANA,1
FARIAS,1
GUAYGUA,1
CONFORME,1
CRESPO,1
FARRA,1
GUIRMANO,1
FELIX,1
HANZE,1
CONSTANTE,1
HEREMBAZ,1
FIALLO,1
COELLO,1
DIAB,1
ENDARA,1
COQUE,1
HUMANANTE,1
CISNE,1
IDROBO,1
CHINGA,1
INTRIAGO,1
FONSECA,1
ITURRALDE,1
CHIRIAP,1
JACHERO,1
DIMINICH,1
JAMI,1
DOGUER,1
JAYA,1
DOMET,1
ERAS,1
CHIMARRO,1
CUMBICUS,1
FUERTES,1
CURICHUMBI,1
GAETE,1
LAGLA,1
DOMINGUEZ,1
GUAMANGATE,1
GAIBOR,1
GUAMINGA,1
CHIMBORAZO,1
GUANOLUISA,1
CORONEL,1
GUAPI,1
COROZO,1
GUARDERAS,1
DOUMET,1
GUAYANLEMA,1
GALO,1
COSIOS,1
GALVAN,1
COUSIN,1
GALVEZ,1
GUFFANTI,1
GAMBOA,1
GUILLIN,1
GAMEZ,1
GUSCHMER,1
GARAICOA,1
CRISPIN,1
DAVALOS,1
HARO,1
CORRALES,1
EGUZ,1
GAROFALO,1
CRISTOBAL,1
CHIMBOLEMA,1
HERRERIA,1
GASPAR,1
CUAYCAL,1
GAVILANEZ,1
HINOSTROZA,1
CUYO,1
HUACA,1
GEORGE,1
HUERTAS,1
GERDA,1
COFRE,1
GIL,1
IBUJES,1
CHINCHAY,1
ILBAY,1
DUQUE,1
INDACOCHEA,1
LALANGUI,1
IÑIGUEZ,1
LANCHIMBA,1
ISSA,1
CHUQUI,1
IZA,1
CUSICAGUA,1
IZURIETA,1
LARREAETEGUI,1
JACHO,1
CUYAGO,1
JAIME,1
GRACIA,1
JARA,1
GRANDA,1
CHUGA,1
GRANIZO,1
JEREZ,1
GRANJA,1
JIMBICTI,1
GREFA,1
JORDAN,1
GUACHA,1
JUANK,1
GUACHO,1
JUMBO,1
GUAIGUA,1
KON,1
GUALA,1
CUSHCAGUA,1
GUALAN,1
LA,1
DE LA TORRE,1
LAINES,1
GUALPA,1
ERBS,1
CORTEZ,1
LANDETA,1
GOMEZCOELLO,1
LAPENTTI,1
GONZAGA,1
CUVI,1
GONZALES,1
LARRIVA,1
CORTE,1
GORDON,1
CAZAR,1
AUCANCELA,1
BARONA,1
BARRERA,1
CARRANZA,1
AGUAYO,1
BAÑOL,1
BARREZUETA,1
CAMPAIN,1
BARRIGA,1
CARBO,1
BARRIONUEVO,1
CASCO,1
BARROS,1
CEREZO,1
ALVARO,1
CHASIPANTA,1
BASANTES,1
BARRAZUETA,1
BASSO,1
CAMPOS,1
BASURTO,1
CAÑIZARES,1
AGUIAR,1
CARLOS,1
AMORES,1
AVILA,1
BAZAN,1
AZUA,1
ANADELA,1
BACIGALUPO,1
BEDON,1
CHACAGUASAY,1
ANCHUNDIA,1
CHANGOLUISA,1
BELLO,1
CHECA,1
BELTRAN,1
CHICO,1
ACACHO,1
ASQUE,1
AGUILERA,1
CAMPAÑA,1
ANDRES,1
CAMPUES,1
BENITES,1
CANGO,1
BENITEZ,1
CARABAJO,1
ANGAMARCA,1
AULESTIA,1
BERMEJO,1
CARMILEMA,1
BERMEO,1
CARREÑO,1
ANGEL,1
ALFARO,1
BERNARDINO,1
CASTANER,1
BERNARDO,1
CAYAMBE,1
BERREZUETA,1
CCHERUAI,1
CHILLOGALLO,1
CENTENO,1
BERRUZ,1
CESAR,1
BETANCOURTH,1
ABATA,1
ACAITURRI,1
CHAMORRO,1
BLASCHKE,1
CHAPUEL,1
BLONDET,1
CHAVES,1
BOADA,1
CHERONI,1
BOHORQUEZ,1
CHICAZA,1
BOLAÑOS,1
CHILA,1
BONIFAZ,1
CALVA,1
ANTE,1
CAMINO,1
ACERO,1
ALEJANDRO,1
APONTE,1
CAMPI,1
AQUINO,1
ATAMAINT,1
BOUTIN,1
ATIENCIA,1
BRACERO,1
CANDO,1
BRAGANZA,1
CAÑAVERAL,1
ARANDA,1
CAPA,1
ARANDI,1
CARANQUI,1
ARANHA,1
CARCHI,1
BRITO,1
CARLIN,1
BRUNNER,1
CARMIGNIANI,1
ARAUJO,1
AULLA,1
BUENAÑO,1
AGREDA,1
BUENAVENTURA,1
ALENCASTRO,1
ARAY,1
AVILES,1
ACHI,1
CASANOVA,1
BUESTAN,1
AYOVI,1
BUÑAY,1
ALLAUCA,1
ACHIG,1
CATAÑA,1
BURGASI,1
CAZA,1
BURGOS,1
CAZARES,1
ARCENTALES,1
AZUERO,1
MAYO,1
BAEZ,1
BUTIÑA,1
BAHAMONDE,1
ARGUELLO,1
BAJANA,1
ALBORNOZ,1
BALAREZO,1
ARMAS,1
BALDEON,1
ARMENDARIZ,1
BANCHON,1
ALBUJA,1
ALTAFUYA,1
AROTINGO,1
CHANGO,1
ABARCA,1
CHAPANTA,1
CAILLAGUA,1
CHARCOPA,1
CAISALITIN,1
CHASIQUIZA,1
CAIZA,1
BARAHONA,1
CAIZAPANTA,1
CHELA,1
CALAPUCHA,1
CHERREZ,1
ARROBA,1
CHICAIZA,1
ALDAS,1
CHICHANDE,1
ALEAGA,1
CHIGUANO,1
ASAN,1
ABEDRABBO,1
CALLEAS,1
ASIMBAYA,1
BERRONES,1
